"Triebzugnummer
(Namensgebung)","Indienststellung
(Aktueller Status)",Zulassungen,Umbauten oder Umrüstungen,Sonstiges
Tz 8001,26. August 2021,"Deutschland, Belgien, Niederlande",,"Erste Fahrt eines Zuges der Baureihe 408 am 27. August 2021
Ab Januar 2022 Testfahrten
Erster Fahrgasteinsatz am 3. Januar 2024 als ICE 618 Stuttgart–Köln"
Tz 8002,22. Oktober 2021,"Deutschland, Belgien, Niederlande",,Erste Testfahrten in die Niederlande im Juni 2023. Erster Fahrgasteinsatz am 22. Juni 2024 als ICE 900 Frankfurt (Main)–Köln.
Tz 8003,8. Dezember 2021,"Deutschland, Belgien, Niederlande",,"Erste öffentliche Präsentation eines Zuges der Baureihe 408 im ICE-Werk Berlin-Rummelsburg am 1. Februar 2022
Erster Fahrgasteinsatz am 6. April 2024 als ICE 529 Düsseldorf–München.
Dieser Triebzug entgleiste am 12. Juli 2025 bei einer Rangierfahrt im ICE Werk Frankfurt-Griesheim. Nach Begutachtung der Schäden durch die zuständigen Stellen wurde er zur Reparatur ins Werk Krefeld überführt. Seit dem 14. November 2025 wird Tz 8003 wieder mit Fahrgästen eingesetzt."
Tz 8004,28. Januar 2022,"Deutschland, Belgien, Niederlande",,"September bis Dezember 2022 in Hanau zur Mitarbeiterschulung.
Erste Fahrt mit Fahrgästen am 11. Dezember 2022 als ICE 817 Köln–Frankfurt (Main)"
Tz 8005,1. März 2022,"Deutschland, Belgien, Niederlande",Erprobung Propanklimaanlage,Erster Fahrgasteinsatz am 23. Dezember 2023 als ICE 1011 Dortmund–München
Tz 8006,8. April 2022,"Deutschland, Belgien, Niederlande",,Erste Testfahrten in Belgien im März 2023. Erster Fahrgasteinsatz am 21. Juli 2024 als ICE 2513 Frankfurt (Main)–Stuttgart
"Tz 8007
Rheinland
(seit 8. Februar 2023)",30. Mai 2022,"Deutschland, Belgien, Niederlande",,"Erste Testfahrt am 8. Juni 2022. Erste Fahrten mit Fahrgästen am 5. Dezember 2022 als ICE 818 und 819.
Der Endwagen 408 507 wurde anlässlich der Taufe und des 200-jährigen Bestehens des Kölner Karnevals mit Luftschlangen und der Aufschrift „200 Jahre Kölner Karneval“ beklebt. Diese Beklebung wurde Ende Februar 2023 wieder entfernt."
Tz 8008,9. September 2022,"Deutschland, Belgien, Niederlande",,Erste Fahrt mit Fahrgästen am 12. Dezember 2022 als ICE 815 Köln–Frankfurt (Main)
Tz 8009,5. August 2022,"Deutschland, Belgien, Niederlande",,Erster Fahrgasteinsatz am 26. Dezember 2023 als ICE 903 Köln–Frankfurt (Main)
Tz 8010,21. Oktober 2022,"Deutschland, Belgien, Niederlande",,"Erste Testfahrten in Belgien im März 2023
Erster Fahrgasteinsatz am 4. Mai 2024 als ICE 911 Frankfurt (Main)–München"
Tz 8011,7. November 2022,"Deutschland, Belgien, Niederlande",,Erste Fahrt mit Fahrgästen am 12. März 2023 als ICE 901 Köln–Frankfurt (Main)
Tz 8012,21. Dezember 2022,"Deutschland, Belgien, Niederlande",,Erste Fahrt mit Fahrgästen am 4. März 2023 als ICE 819 Köln–Frankfurt (Main)
Tz 8013,23. Januar 2023,"Deutschland, Belgien, Niederlande",,Erste Fahrt mit Fahrgästen am 10. April 2023 als ICE 818 Frankfurt (Main)–Köln
Tz 8014,31. März 2023,"Deutschland, Belgien, Niederlande",Erprobung Propanklimaanlage,Erster Fahrgasteinsatz am 7. Januar 2024 als ICE 613 Köln–München
Tz 8015,24. April 2023,"Deutschland, Belgien, Niederlande",,Erste Fahrt mit Fahrgästen am 7. August 2023 als ICE 712 Mainz–Köln
Tz 8016,19. Mai 2023,"Deutschland, Belgien, Niederlande",,Erste Fahrt mit Fahrgästen am 2. September 2023 als ICE 819 Köln–Frankfurt (Main)
Tz 8017,16. Juni 2023,"Deutschland, Belgien, Niederlande",,"Erster Triebzug mit überarbeitetem Innenraumdesign
Erste Fahrt mit Fahrgästen am 23. Oktober 2023 als ICE 900 Frankfurt (Main)–Köln"
Tz 8018,10. Juli 2023,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erstmalig bei Siemens-Werksjubiläum in Krefeld-Uerdingen öffentlich zu sehen gewesen.
Erste Fahrt mit Fahrgästen am 16. Dezember 2023 als ICE 817 Köln–Frankfurt (Main)"
"Tz 8019
Düsseldorf
(seit 26. Februar 2025)",31. Juli 2023,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 23. Dezember 2023 als ICE 817 Köln–Frankfurt (Main)
Wurde am 26. Februar 2025 anlässlich 200 Jahre Düsseldorfer Karneval mit zusätzlicher Werbebeklebung versehen.
Taufname „Düsseldorf“ von Triebzug 4611 übernommen, der ab April 2025 ausgemustert wurde."
"Tz 8020
Amsterdam
(seit 12. März 2025)",8. September 2023,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 10. Februar 2024 als ICE 527 Dortmund–München
Taufname „Amsterdam“ von Triebzug 4651 übernommen, der ab April 2025 ausgemustert wurde."
Tz 8021,27. Oktober 2023,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 2. März 2024 als ICE 913 Dortmund–München"
"Tz 8022
Waldecker Land
(seit 5. Juni 2024)",27. November 2023,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 2. April 2024 als ICE 711 Köln–Mannheim"
"Tz 8026
Christmas Train
(seit Dezember 2025)",29. April 2024,"Deutschland, Belgien, Niederlande",,"Überarbeitetes Innenraumdesign
Erster Fahrgasteinsatz am 9. August 2024 als ICE 224 Köln–Amsterdam
In der Weihnachtszeit 2025 als Christmas Train unterwegs"
